Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý
"5,98 tỷ","Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30.3 m²,3.65 m,8.3 m,2 phòng,3 phòng,N/A,Đã có sổ
"12,9 tỷ","HẺM XE TẢI, Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55.3 m²,N/A,N/A,5 phòng,5 phòng,1,Đã có sổ
"8,8 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45 m²,3.2 m,14 m,5 phòng,5 phòng,5,Đã có sổ
"44,9 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",103 m²,N/A,N/A,1 phòng,N/A,N/A,Đã có sổ
"1,88 tỷ","Đường Tản Đà, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,5 m,14 m,4 phòng,3 phòng,2,Đã có sổ
"9,5 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45 m²,4.4 m,13 m,5 phòng,5 phòng,5,Đã có sổ
"7,6 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",38 m²,2.8 m,13.7 m,5 phòng,6 phòng,5,Đã có sổ
"12,5 tỷ","Đường Hưng Phú, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",40 m²,4.5 m,9 m,5 phòng,4 phòng,5,Đã có sổ
8 tỷ,"Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,47 m²,N/A,N/A,1 phòng,N/A,2,Đã có sổ
"5,89 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",54 m²,4.5 m,12 m,3 phòng,4 phòng,N/A,Đã có sổ
"7,8 tỷ","Đường Nguyễn Chí Thanh, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",81 m²,5.2 m,14.5 m,4 phòng,5 phòng,4,Đã có sổ
"14,8 tỷ","Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",40 m²,3.6 m,12 m,4 phòng,4 phòng,5,Đã có sổ
"10,8 tỷ","22/28, Đường Nguyễn Thời Trung, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",70.7 m²,4 m,17.7 m,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,4,Đã có sổ
"3,85 tỷ","Huỳnh Mẫn Đạt, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",73.6 m²,4.6 m,16 m,4 phòng,N/A,N/A,Đã có sổ
32 tỷ,"Đường Hải Thượng Lãn Ông, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",139 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"5,2 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,N/A,N/A,3 phòng,4 phòng,N/A,Đã có sổ
"12,999 tỷ","Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,4 m,14 m,5 phòng,5 phòng,5,Đã có sổ
"4,4 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,2 phòng,2 phòng,3,Đã có sổ
"5,35 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",34 m²,3.3 m,10 m,9 phòng,4 phòng,4,Đã có sổ
4 tỷ,"Đường Nguyễn Văn Cừ, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24.5 m²,3.5 m,7 m,3 phòng,3 phòng,N/A,Đã có sổ
"8,5 tỷ","Đường Nguyễn Thị Nhỏ, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",34 m²,3.4 m,N/A,4 phòng,4 phòng,4,Đã có sổ
"5,2 tỷ","Đường Trường Chinh, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,3.5 m,13 m,3 phòng,2 phòng,3,Đã có sổ
132 tỷ,"Đường Hải Thượng Lãn Ông, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",348 m²,N/A,N/A,1 phòng,1 phòng,1,Đã có sổ
15 triệu/tháng,"Hẻm 157 Dương Bá Trạc, Phường 1, Quận 8, Tp Hồ Chí Minh","Nhà ngõ, hẻm",90 m²,5 m,18 m,4 phòng,3 phòng,2,Đã có sổ
"4,8 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",17.1 m²,3 m,5.7 m,3 phòng,3 phòng,N/A,Đã có sổ
"3,19 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",29 m²,4 m,7 m,4 phòng,5 phòng,3,Đã có sổ
"1,65 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",29.6 m²,4 m,7.4 m,4 phòng,4 phòng,3,Không có sổ
"11,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,4 m,15 m,4 phòng,5 phòng,4,Đã có sổ
"1,25 tỷ","Đường Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
32 tỷ,"Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",149 m²,8 m,18 m,8 phòng,6 phòng,N/A,Đã có sổ
"13,7 tỷ","560, Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội","Nhà mặt phố, mặt tiền",70 m²,4 m,N/A,5 phòng,5 phòng,5,Đã có sổ
"11,999 tỷ","Đường Ngã Sáu Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,4 m,14 m,5 phòng,5 phòng,6,Đã có sổ
"1,63 tỷ","Đường Nguyễn Văn Linh, Phường Long Tuyền, Quận Bình Thuỷ, Cần Thơ","Nhà ngõ, hẻm",70 m²,5 m,14 m,2 phòng,1 phòng,1,Đã có sổ
"4,99 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",26 m²,3 m,10 m,3 phòng,4 phòng,4,Đã có sổ
"5,6 tỷ","Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",27 m²,3 m,9 m,4 phòng,N/A,N/A,Đã có sổ
"3,15 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,2 m,5 m,3 phòng,2 phòng,N/A,Đã có sổ
"9,9 tỷ","Đường Nguyễn Chí Thanh, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,N/A,N/A,nhiều hơn 10 phòng,N/A,N/A,Đã có sổ
"9,8 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",62.4 m²,418 m,N/A,5 phòng,3 phòng,2,Đã có sổ
"13,5 tỷ","Đường An Bình, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",66 m²,4 m,17 m,6 phòng,6 phòng,5,Đã có sổ
"2,55 tỷ","Đường Lê Hồng Phong, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,N/A,N/A,3 phòng,4 phòng,3,Đã có sổ
"10,8 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4 m,14 m,7 phòng,5 phòng,5,Đã có sổ
9 tỷ,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,5 m,10 m,3 phòng,2 phòng,2,Đã có sổ
5 tỷ,"Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,3 phòng,4 phòng,3,Đã có sổ
"19,5 tỷ","Đường Cao Đạt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",60 m²,6 m,10 m,5 phòng,3 phòng,4,Đã có sổ
"3,98 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",27 m²,5 m,6 m,2 phòng,2 phòng,3,Đã có sổ
"8,9 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",70 m²,5 m,14 m,4 phòng,5 phòng,3,Đã có sổ
"6,3 triệu/tháng","148, Đường Tôn Đản, Phường 8, Quận 4, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"3,46 tỷ","Đường Huỳnh Mẫn Đạt, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,2 m,10 m,4 phòng,4 phòng,2,Đã có sổ
56 tỷ,"293, an duong vuong p3 q5, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",83 m²,4 m,22 m,4 phòng,4 phòng,4,Đã có sổ
"1,835 tỷ","Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh",N/A,99 m²,5 m,19.99 m,N/A,N/A,N/A,Đã có sổ
"16,2 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,4.2 m,15 m,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,6,Đã có sổ
"17,9 tỷ","74, Đường Lê Hồng Phong, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",52 m²,3.5 m,15 m,3 phòng,3 phòng,2,Đã có sổ
"1,95 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",18.2 m²,2.8 m,6.5 m,2 phòng,2 phòng,2,Đã có sổ
"9,2 tỷ","Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",47 m²,5 m,9.5 m,3 phòng,N/A,3,Đã có sổ
"4,4 tỷ","40A, Đường Xô Viết Nghệ Tĩnh, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,Hợp đồng mua bán
"3,46 tỷ","Đường Ngô Quyền, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,2 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"9,25 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,4 m,14.5 m,4 phòng,5 phòng,4,Đã có sổ
"4,98 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,5 phòng,2,Đã có sổ
"9,7 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",44 m²,3.55 m,13 m,4 phòng,N/A,N/A,Đã có sổ
"3,99 tỷ","huỳnh mẫn đạt phường 5, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",73.6 m²,4.6 m,16 m,4 phòng,5 phòng,2,Đã có sổ
"24,5 tỷ","Đường Hùng Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",55.5 m²,4.4 m,13 m,4 phòng,2 phòng,3,Đã có sổ
"4,3 tỷ","235/12B, Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",18 m²,3.5 m,7 m,3 phòng,3 phòng,4,Đã có sổ
"23,5 tỷ","Đường Ngô Quyền, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",100 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"2,49 tỷ","Đường Vĩnh Khánh, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,4 m,5 m,2 phòng,3 phòng,N/A,Đã có sổ
"3,1 tỷ","Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16 m²,3 m,6 m,3 phòng,2 phòng,3,Đã có sổ
"2,25 tỷ","Bạch Vân, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15.2 m²,2.5 m,6 m,3 phòng,4 phòng,4,Đã có sổ
"9,49 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43.2 m²,3.6 m,12 m,3 phòng,N/A,N/A,Đã có sổ
"6,3 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3 m,8 m,3 phòng,3 phòng,34,Đã có sổ
"13,99 tỷ","110C, Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",67.2 m²,4.2 m,16 m,4 phòng,3 phòng,3,Đã có sổ
"2,9 tỷ","Đường Huỳnh Văn Nghệ, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai","Nhà ngõ, hẻm",80 m²,4.8 m,17 m,3 phòng,3 phòng,2,Đã có sổ
"8,5 tỷ","Đường Hải Thượng Lãn Ông, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.5 m,14 m,3 phòng,3 phòng,3,Đã có sổ
5 tỷ,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,4 m,8 m,3 phòng,3 phòng,4,Đã có sổ
"9,1 tỷ","Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",22 m²,3.3 m,7 m,2 phòng,3 phòng,2,Đã có sổ
28 tỷ,"138/26, Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",157.5 m²,7 m,22.5 m,6 phòng,3 phòng,N/A,Đã có sổ
"20,5 tỷ","Đường Nguyễn Văn Đừng, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",52 m²,3.5 m,16 m,5 phòng,N/A,N/A,Đã có sổ
"7,8 tỷ","Đường Lê Hồng Phong, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",25 m²,3.2 m,8 m,4 phòng,5 phòng,4,Đã có sổ
"20,5 tỷ","51/34, Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",100 m²,5 m,20 m,4 phòng,5 phòng,2,Đã có sổ
"15,2 tỷ","Đường Huỳnh Mẫn Đạt, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",52 m²,3.8 m,14 m,1 phòng,2 phòng,2,Đã có sổ
"10,1 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",70 m²,N/A,N/A,5 phòng,3 phòng,N/A,Đã có sổ
"4,999 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,9.7 m,2 phòng,2 phòng,2,Đã có sổ
14 tỷ,"Đường Nguyễn Biểu, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",26.2 m²,3.3 m,12 m,6 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
"2,8 tỷ","Đường Trần Bình Trọng, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,4 m,12 m,3 phòng,3 phòng,1,Đã có sổ
"4,5 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24.5 m²,3.5 m,7 m,3 phòng,4 phòng,4,Đã có sổ
4 tỷ,"Đường Tân Hiệp 6, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","Nhà ngõ, hẻm",102 m²,6 m,17 m,4 phòng,3 phòng,N/A,Đã có sổ
"14,5 tỷ","Đường Phù Đổng Thiên Vương, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",70 m²,N/A,N/A,2 phòng,N/A,N/A,Đã có sổ
"4,19 tỷ","Đường Trần Bình Trọng, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68.8 m²,4.3 m,16 m,4 phòng,4 phòng,3,Đã có sổ
"3,86 tỷ","Đường Phan Văn Trị, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56 m²,4 m,14 m,4 phòng,N/A,N/A,Đã có sổ
"2,96 tỷ","Đường Hồng Bàng, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,4 m,12.6 m,3 phòng,3 phòng,1,Đã có sổ
"22,5 tỷ","Đường Nguyễn Chí Thanh, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",54 m²,3.6 m,16 m,8 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
"12,5 tỷ","Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,56 m²,4 m,14 m,5 phòng,5 phòng,5,Đã có sổ
15 tỷ,"Huỳnh Mẫn Đạt Phường 2, Quận 5, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",49 m²,3.8 m,13 m,2 phòng,N/A,2,Đã có sổ
"21,8 tỷ","97, Đường Đỗ Ngọc Thạnh, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",78 m²,4.2 m,18 m,6 phòng,Nhiều hơn 6 phòng,6,Đã có sổ
"16,5 tỷ","Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",45 m²,4.4 m,11 m,7 phòng,6 phòng,6,Đã có sổ
"13,4 tỷ","Đường Trần Hưng Ðạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",64 m²,4 m,16 m,4 phòng,4 phòng,3,Đã có sổ
70 tỷ,"Đường Trần Hưng Đạo, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",187 m²,8.5 m,22 m,8 phòng,Nhiều hơn 6 phòng,N/A,Đã có sổ
"14,8 tỷ","Hàm Tử, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",70.93 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"14,5 tỷ","Đường Nguyễn Biểu, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",39 m²,3.3 m,12 m,10 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
"4,88 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"6,5 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",36 m²,3.3 m,11 m,1 phòng,2 phòng,2,Đã có sổ
"10,8 tỷ",", Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,N/A,N/A,6 phòng,N/A,N/A,Đã có sổ
"10,8 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,4 m,14 m,7 phòng,6 phòng,5,Đã có sổ
"8,6 tỷ","Nguyễn Trãi , Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.55 m,13 m,3 phòng,4 phòng,4,Đã có sổ
26 tỷ,"80/8, Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",140 m²,7 m,20 m,8 phòng,N/A,N/A,Đã có sổ
"8,5 tỷ","Hẻm 249 Lê Hồng Phong, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",31 m²,3.1 m,10.5 m,3 phòng,N/A,2,Đã có sổ
"26,5 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",75 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
"4,5 tỷ","99, Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3 m,8 m,2 phòng,N/A,2,Đã có sổ
10 tỷ,"Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",70 m²,4.06 m,18 m,5 phòng,4 phòng,1,Đã có sổ
"3,9 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15 m²,3 m,5 m,3 phòng,3 phòng,N/A,Đã có sổ
"4,33 tỷ","Đường Dương Tử Giang, Phường 12, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,28 m²,4 m,7 m,3 phòng,N/A,N/A,Đã có sổ
"1,2 tỷ","Phú Bằng, Xã An Linh, Huyện Phú Giáo, Bình Dương",N/A,945.7 m²,10 m,82 m,N/A,N/A,N/A,Đã có sổ
"3,86 tỷ","Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,4 phòng,2,Đã có sổ
10 tỷ,"Hẻm 565 Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.3 m,13 m,5 phòng,N/A,4,Đã có sổ
104 tỷ,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",235 m²,N/A,N/A,8 phòng,N/A,N/A,Đã có sổ
"4,1 tỷ","Đường Phạm Hữu Chí, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51.5 m²,5.1 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"4,3 tỷ","Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3.8 m,7 m,3 phòng,4 phòng,5,Đã có sổ
14 tỷ,"Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",100 m²,4 m,25 m,7 phòng,6 phòng,4,Đã có sổ
"3,69 tỷ","Đường Nguyễn Trãi, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"12,8 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,4 m,13 m,5 phòng,4 phòng,4,Đã có sổ
12 tỷ,"Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,4 m,15 m,4 phòng,N/A,N/A,Đã có sổ
"9,8 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4.2 m,12 m,4 phòng,4 phòng,4,Đã có sổ
"10,5 tỷ","247, Đường Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Nhà phố liền kề,50 m²,9 m,N/A,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,7,Đã có sổ
"8,5 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",27 m²,N/A,N/A,3 phòng,3 phòng,N/A,Đã có sổ
"8,699 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4.4 m,11 m,3 phòng,3 phòng,2,Đã có sổ
"3,28 tỷ","Bãi Sậy, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",26 m²,3 m,9 m,4 phòng,3 phòng,4,Đã có sổ
"10,8 tỷ","Hẻm 565 Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.3 m,13 m,5 phòng,6 phòng,5,Đã có sổ
"16,5 tỷ","Cầu Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",44 m²,N/A,N/A,8 phòng,6 phòng,N/A,Đã có sổ
"4,09 tỷ","Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",35 m²,5 m,7 m,3 phòng,N/A,N/A,Đã có sổ
"14,3 tỷ","Đường Nguyễn Tri Phương, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",88 m²,4.2 m,21 m,4 phòng,N/A,2,Đã có sổ
"12,5 tỷ","Đường Ngã Sáu Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50.6 m²,4 m,12.5 m,3 phòng,5 phòng,5,Đã có sổ
"9,9 tỷ","565/30, Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.4 m,13 m,5 phòng,6 phòng,N/A,Đã có sổ
"9,8 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",32 m²,N/A,N/A,3 phòng,3 phòng,N/A,Đã có sổ
"14,2 tỷ","Đường An Dương Vương, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17.05 m,4 phòng,N/A,3,Đã có sổ
"3,8 tỷ","Đường Nguyễn Văn Cừ, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",72 m²,5 m,17 m,3 phòng,2 phòng,2,Đã có sổ
"4,21 tỷ","Đường Trần Hưng Đạo, Phường 4, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,71 m²,5 m,14.2 m,6 phòng,N/A,N/A,Đã có sổ
"8,6 tỷ","nguyễn cảnh chân , Phường 2, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,42 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
